flex_index,flex_middle,flex_ring,accel_x,accel_y,accel_z,gyro_x,gyro_y,label
4095,2845,2752,18744,12504,3740,2407,-2421,good
4095,3005,3181,1648,12088,660,-458,-4281,good
4095,2689,3175,-2216,15728,1304,446,165,good
4086,2715,3152,412,17240,-148,-3061,857,good
4093,2752,3089,-3652,15980,1520,-6265,9731,good
4095,3055,3351,-4592,14228,8532,-25964,-1980,good
4095,2791,3217,-7844,11656,8728,5944,2633,good
4095,2894,3029,-5980,12920,9148,661,1030,good
4095,2800,3039,-6232,13256,7792,266,871,good
4095,2768,3024,-6008,13620,7856,-1051,1196,good
4095,2869,3026,-5848,12932,7812,-826,1103,good
4095,2877,2946,-6112,13276,8372,-1119,578,good
4095,2869,3094,-6364,13268,8388,325,919,good
4095,2899,3071,-3008,13892,6616,5898,-4684,good
4093,2736,3087,-3488,14364,5128,989,-3962,good
4087,2702,3258,-3756,15816,3828,1192,-2194,good
4080,2623,3297,-1196,15900,3800,1050,-1330,good
4080,2641,3103,-1664,16396,3648,-77,456,good
4078,2645,3071,-964,16460,3228,-85,-560,good
4095,2677,3018,-1748,16344,2592,35,411,good
4095,2677,2945,-1456,16524,2708,-696,587,good
4095,2863,3060,-1480,16512,3184,-263,1202,good
4095,2862,3137,-1648,16448,2976,-238,777,good
4095,2945,3088,-1868,16516,2692,-437,1004,good
4095,2961,3011,-1960,16352,2776,-279,681,good
4095,2752,3056,-2684,15836,2396,1297,2304,good
4095,2559,2994,5780,18560,1488,1865,-4289,good
4095,2743,3264,-6876,15152,2272,167,577,good
4077,2558,3059,-1336,16616,1560,-1236,2051,good
4075,2595,3087,-2112,16428,916,-94,221,good
4074,2625,3098,-1628,16236,928,50,87,good
4083,2685,3339,-624,16244,836,-329,1307,good
4095,2483,3314,3304,18312,1124,484,3172,good
4095,2448,3602,-2076,16724,2836,73,341,good
4095,2449,3599,-844,16296,1624,-1694,1656,good
4095,2320,3191,-1736,16804,1260,-454,671,good
4095,2304,3090,-1716,16656,1408,-210,984,good
4095,2256,3011,-1392,16136,1256,-930,496,good
4095,2255,2931,-1492,16820,1904,-415,1070,good
4095,2320,3039,-1856,16700,1888,-429,690,good
4095,2455,3104,-1228,16052,1388,-637,732,good
4095,2506,2944,-1484,16568,1784,-380,1361,good
4095,2341,3234,-972,16068,764,-688,442,good
4095,2320,3152,-696,17000,2448,175,2174,good
4095,2250,3393,2688,18532,1612,954,890,good
4095,2160,3093,-260,16296,992,-1203,1420,good
4095,3021,3184,1496,17176,28,7314,-4789,good
4095,3159,3004,15932,10748,-5736,3195,-2385,good
4095,2800,2992,14992,3072,-5512,-3605,-221,good
4095,2624,2847,15384,5232,-2548,-1650,2940,good
4095,2688,2745,15900,3560,-2712,-1007,-449,good
4095,2923,3200,16228,4340,-7000,1004,-19953,good
4095,2913,3353,11088,8408,-5704,175,10617,good
4095,2799,2807,13752,5440,-2292,-3712,-2271,good
4095,2846,2800,17956,3420,-5328,1492,1490,good
4095,2946,2736,15912,2224,-3444,-593,-1334,good
4095,3194,2909,15860,2740,-3796,-229,2989,good
4095,3194,2829,15528,3148,-3556,-1681,297,good
4095,3152,2835,18604,5624,-10808,-7875,7615,good
4095,2713,3755,5132,14260,1988,4199,-21243,good
4095,2914,3557,2896,15344,-7048,7318,-11826,good
4095,2874,3421,704,11920,-9716,3271,7429,good
4095,2829,3542,128,11676,-11876,-1180,-3950,good
4095,2304,3552,-924,13424,-8680,-2365,2979,good
4095,2256,3323,1420,14180,-7064,-3811,10114,good
4095,2398,3751,1104,13708,-9344,-2950,-2222,good
4095,2317,3764,1600,12352,-9704,717,3671,good
4095,2352,3763,1992,12984,-8756,-1601,5618,good
4095,2320,3577,1488,12664,-12560,-2973,-2934,good
4095,2071,3307,1928,15952,-6844,-6192,509,good
4095,2175,3241,2560,12800,-10092,3082,2200,good
4095,2294,3445,412,13384,-10644,372,-13148,good
4095,2317,3366,-4128,13116,-8764,-1774,1930,good
4095,2269,3318,-5240,12592,-8364,1778,2774,good
4095,2154,3293,-3652,12604,-10284,-1159,1288,good
4095,2037,3236,2356,11452,-10644,-354,528,good
4095,2067,3334,3004,13152,-6128,-8070,18829,good
4095,2249,3680,3888,14664,-5024,-7406,11949,good
4095,2557,3515,7352,13500,76,-1507,4654,good
4095,2524,3539,5672,16248,-1392,4797,-3124,good
4095,2918,3533,6660,15824,-2840,-4076,4384,good
4095,3008,3478,5040,15388,-1312,2089,-5294,good
4095,3199,3267,3148,14948,-2652,-1060,-1247,good
4095,2896,3649,4228,16248,-3532,214,-298,good
4095,2887,3568,3572,15408,-4228,2489,-199,good
4095,2928,3550,2516,15716,-6656,-3768,1031,good
4095,2890,3463,2744,15712,-4664,-2171,6651,good
4095,2833,3430,3156,16036,2396,-6848,15404,good
4095,2777,3508,6132,13536,9096,-8936,6965,good
4095,2955,3430,6020,12256,9344,-985,387,good
4095,2894,3420,5944,11932,10440,-2831,-5582,good
4095,2978,3530,5156,14756,8720,-12980,-4555,good
4095,2522,3343,7560,8644,12028,1773,5315,good
4095,2768,3415,5780,10952,8384,-4935,-7082,good
4095,2285,3578,8404,10828,9892,-2696,539,good
4095,2743,3535,2700,12224,11544,2985,9838,good
4095,2559,3387,-2540,9120,14128,-6652,17184,good
4095,3003,3397,5420,8032,13384,6090,3935,good
4095,2911,3370,9324,11180,12840,7581,7349,good
4095,2877,3376,6660,10348,11064,-3611,379,good
4095,2852,3459,7264,9488,11332,2000,-1944,good
4095,3038,3263,8912,9748,9876,1430,-2582,good
4095,2915,3179,9352,11112,9548,646,504,good
4095,3071,3485,6576,11492,8176,-2609,1727,good
4095,2958,3306,7644,12268,8576,-903,-637,good
4095,2955,3339,7212,12228,8404,136,1327,good
4095,3047,3428,1980,16288,9240,-4097,2717,good
4095,3039,3583,-6420,10364,8792,3340,-4161,good
4095,3007,3536,-424,10576,7868,-6466,10909,good
4095,2983,3312,1136,12172,11284,2938,-7389,good
4095,2935,3218,2908,12664,11600,553,-5878,good
4095,3039,3262,3268,12496,10208,-812,-5791,good
4095,3024,3295,5512,12412,10724,-1535,12867,good
4095,3018,3285,1492,12076,11668,-334,4624,good
4095,2949,3216,172,12140,11880,171,499,good
4095,2957,3311,-420,11612,12316,460,-1118,good
4095,2965,3214,556,11656,11824,-1869,3825,good
4095,3004,3122,-2476,12556,12292,-1293,9045,good
4095,2971,3217,364,11792,12020,323,3374,good
4095,2999,3097,-3624,11812,11464,-1675,264,good
4095,2923,3254,-1236,12028,11948,-272,-3470,good
4095,2817,3071,-1388,11892,11860,-123,2220,good
4095,2880,3217,16,12256,12024,-2636,33,good
4095,2992,3151,244,11632,1872,494,140,good
4051,2973,2922,-2116,14344,1700,-602,589,good
4051,2967,2914,4304,17344,932,1402,1715,good
4050,2966,2882,-152,16356,1764,408,-135,good
4045,2970,2999,-536,17096,1748,-324,202,good
4053,2971,2933,-688,15600,1740,-1285,1905,good
4048,2969,2935,3856,17516,-212,-134,44,good
4041,2970,2946,1236,16588,1188,889,2056,good
4045,2970,2949,-2980,15960,1936,-1658,2641,good
4045,2965,2910,848,16648,1332,-1453,1345,good
4034,2975,2944,-52,15912,1500,121,385,good
4045,2967,2894,-336,16616,748,-1125,-1134,good
4042,2985,2881,2580,16504,560,1510,212,good
4046,2983,3140,428,16380,1512,-332,1329,good
4059,2978,3330,828,16640,1240,-30,470,good
4039,2881,3090,296,16796,1716,-472,1120,good
4063,2836,3213,40,16724,1036,-1242,330,good
4059,2827,3127,176,16856,1448,-422,585,good
4057,2805,2991,-580,16060,2184,-1199,1241,good
4057,2842,3138,596,16616,1124,-395,2171,good
4095,3211,3290,200,16148,1256,32,831,good
4095,3219,3670,456,16516,628,65,808,good
4095,3159,3425,-492,16884,1504,719,1505,good
4095,3024,3285,-264,15980,616,-323,1433,good
4095,2601,3126,-424,16040,44,147,761,good
4095,2995,3266,-496,17084,1104,-1432,2260,good
4095,2606,2993,876,15528,8,-1029,533,good
4095,2864,3222,-384,16500,724,-127,-152,good
4095,2263,3105,-448,17428,692,-1241,1080,good
4095,2513,3024,-364,16664,832,-242,470,good
4095,2245,3212,-356,17180,1212,-532,360,good
4095,3115,3131,-484,17120,1556,-294,69,good
4095,2999,3317,-348,16572,1636,727,2473,good
4095,2454,3202,40,15776,696,-1263,1234,good
4093,2301,3639,-768,17168,1260,-77,-1847,good
4095,2823,3409,348,16300,612,-2391,782,good
4095,2667,3438,-460,16504,1976,661,878,good
4081,2529,3502,-1116,16992,1184,-1522,991,good
4095,2559,3223,-548,17084,2056,44,1016,good
4095,2671,3651,56,17280,1160,734,-53,good
4095,2731,3583,-1592,16968,1268,-1280,-964,good
4095,3171,3686,-748,16100,892,2654,-143,good
4095,2593,3409,-720,16332,1012,-1412,866,good
4095,2527,3218,132,16176,1144,-684,1318,good
4095,3123,3543,-860,16976,1412,450,1274,good
4095,2517,3293,-400,15880,1656,-923,2754,good
4095,2493,3179,-612,16184,2196,-1510,1119,good
4095,2699,3068,-792,16776,1744,-289,-1914,good
4095,2523,3200,20,16676,2056,1352,386,good
4082,2609,3629,-308,16452,1796,2007,-1606,good
4080,2460,3522,-224,16872,660,-1150,1687,good
4043,2321,3187,368,17060,576,-1114,-73,good
4095,2851,3566,-808,16196,1104,756,-31,good
4095,2342,3554,-808,16332,1028,1647,1763,good
4095,2814,3709,-92,16444,260,630,788,good
4041,2352,3104,-344,17236,1492,-1527,466,good
4079,2767,3462,-1092,16592,1592,-1040,1400,good
4095,2861,3440,108,15860,1288,-923,741,good
4095,2672,3091,-4,15324,1452,-1366,2921,good
4095,2698,3533,-1196,16188,1328,-1624,-597,good
4095,2768,3305,-244,16932,2184,-376,1320,good
4093,2513,3495,52,17344,1592,861,617,good
4095,2505,3105,-280,16052,2088,-406,1804,good
4095,2815,3122,3312,17328,164,-574,455,good
4095,2913,3058,-4328,18244,3784,1336,-3801,good
4095,2863,3297,10188,12776,1084,1286,7591,good
4071,2595,3355,-1736,16944,1488,643,-2076,good
4053,2748,3333,9300,12752,-536,-2582,2782,good
4052,2737,3310,-2736,20208,-724,-9464,15284,good
4039,2784,3185,-2752,11304,15568,6528,-3616,good
